Opponent,Matches,Won,Lost,Tied,No Result,% Won,First,Last
Full Members,,,,,,,,
 Afghanistan,3,2,0,1,0,83.33,2014,2019
 Australia,143,53,80,0,10,39.84,1980,2020
 Bangladesh,36,30,5,0,1,85.71,1988,2019
 England,103,55,43,2,3,56,1974,2021
 Ireland,3,3,0,0,0,100,2007,2015
 New Zealand,110,55,49,1,5,52.85,1975,2020
 Pakistan,132,55,73,0,4,42.96,1978,2019
 South Africa,87,35,49,0,3,41.66,1988,2022
 Sri Lanka,162,93,57,1,11,61.58,1979,2021
 West Indies,136,67,63,2,4,51.51,1979,2022
 Zimbabwe,63,51,10,2,0,82.54,1983,2016
